ACC_STATION_CODE,DATE_TYPE,TIME_ATTRIBUTE,BEGIN_TIME,END_TIME,VERSION_ID
661,7,3,600,960,499                 
661,7,4,960,1080,499                 
661,7,5,1080,1440,499                 
661,8,1,240,420,499                 
661,8,2,420,540,499                 
661,8,3,540,1020,499                 
661,8,4,1020,1140,499                 
661,8,5,1140,1440,499                 
661,9,1,240,480,499                 
661,9,2,480,600,499                 
661,9,3,600,960,499                 
661,9,4,960,1080,499                 
661,9,5,1080,1440,499                 
661,10,1,240,420,499                 
661,10,2,420,540,499                 
661,10,3,540,960,499                 
661,10,4,960,1200,499                 
661,10,5,1200,1440,499                 
661,11,1,240,480,499                 
661,11,2,480,600,499                 
661,11,3,600,960,499                 
661,11,4,960,1080,499                 
661,11,5,1080,1440,499                 
661,12,1,240,420,499                 
661,12,2,420,540,499                 
661,12,3,540,1020,499                 
661,12,4,1020,1140,499                 
661,12,5,1140,1440,499                 
661,13,1,240,480,499                 
661,13,2,480,600,499                 
661,13,3,600,960,499                 
661,13,4,960,1080,499                 
661,13,5,1080,1440,499                 
661,14,1,240,420,499                 
661,14,2,420,540,499                 
661,14,3,540,960,499                 
661,14,4,960,1200,499                 
661,14,5,1200,1440,499                 
661,15,1,240,480,499                 
661,15,2,480,600,499                 
661,15,3,600,960,499                 
661,15,4,960,1080,499                 
661,15,5,1080,1440,499                 
663,0,1,240,420,499                 
663,0,2,420,540,499                 
663,0,3,540,1020,499                 
663,0,4,1020,1140,499                 
663,0,5,1140,1440,499                 
663,1,1,240,480,499                 
663,1,2,480,600,499                 
663,1,3,600,960,499                 
663,1,4,960,1080,499                 
663,1,5,1080,1440,499                 
663,2,1,240,420,499                 
663,2,2,420,540,499                 
663,2,3,540,960,499                 
663,2,4,960,1200,499                 
663,2,5,1200,1440,499                 
663,3,1,240,480,499                 
663,3,2,480,600,499                 
663,3,3,600,960,499                 
663,3,4,960,1080,499                 
663,3,5,1080,1440,499                 
663,4,1,240,420,499                 
663,4,2,420,540,499                 
663,4,3,540,1020,499                 
663,4,4,1020,1140,499                 
663,4,5,1140,1440,499                 
663,5,1,240,480,499                 
663,5,2,480,600,499                 
663,5,3,600,960,499                 
663,5,4,960,1080,499                 
663,5,5,1080,1440,499                 
663,6,1,240,420,499                 
663,6,2,420,540,499                 
663,6,3,540,960,499                 
663,6,4,960,1200,499                 
663,6,5,1200,1440,499                 
663,7,1,240,480,499                 
813,6,5,1200,1440,499                 
813,7,1,240,480,499                 
813,7,2,480,600,499                 
813,7,3,600,960,499                 
813,7,4,960,1080,499                 
813,7,5,1080,1440,499                 
813,8,1,240,420,499                 
813,8,2,420,540,499                 
813,8,3,540,1020,499                 
813,8,4,1020,1140,499                 
813,8,5,1140,1440,499                 
813,9,1,240,480,499                 
813,9,2,480,600,499                 
813,9,3,600,960,499                 
813,9,4,960,1080,499                 
813,9,5,1080,1440,499                 
813,10,1,240,420,499                 
813,10,2,420,540,499                 
813,10,3,540,960,499                 
813,10,4,960,1200,499                 
813,10,5,1200,1440,499                 
813,11,1,240,480,499                 
813,11,2,480,600,499                 
813,11,3,600,960,499                 
813,11,4,960,1080,499                 
813,11,5,1080,1440,499                 
813,12,1,240,420,499                 
813,12,2,420,540,499                 
813,12,3,540,1020,499                 
813,12,4,1020,1140,499                 
813,12,5,1140,1440,499                 
813,13,1,240,480,499                 
813,13,2,480,600,499                 
813,13,3,600,960,499                 
813,13,4,960,1080,499                 
813,13,5,1080,1440,499                 
813,14,1,240,420,499                 
813,14,2,420,540,499                 
813,14,3,540,960,499                 
813,14,4,960,1200,499                 
813,14,5,1200,1440,499                 
813,15,1,240,480,499                 
813,15,2,480,600,499                 
813,15,3,600,960,499                 
813,15,4,960,1080,499                 
813,15,5,1080,1440,499                 
815,0,1,240,420,499                 
815,0,2,420,540,499                 
815,0,3,540,1020,499                 
815,0,4,1020,1140,499                 
815,0,5,1140,1440,499                 
815,1,1,240,480,499                 
815,1,2,480,600,499                 
815,1,3,600,960,499                 
815,1,4,960,1080,499                 
815,1,5,1080,1440,499                 
815,2,1,240,420,499                 
815,2,2,420,540,499                 
815,2,3,540,960,499                 
815,2,4,960,1200,499                 
815,2,5,1200,1440,499                 
815,3,1,240,480,499                 
815,3,2,480,600,499                 
815,3,3,600,960,499                 
815,3,4,960,1080,499                 
815,3,5,1080,1440,499                 
815,4,1,240,420,499                 
815,4,2,420,540,499                 
815,4,3,540,1020,499                 
815,4,4,1020,1140,499                 
815,4,5,1140,1440,499                 
815,5,1,240,480,499                 
815,5,2,480,600,499                 
815,5,3,600,960,499                 
815,5,4,960,1080,499                 
815,5,5,1080,1440,499                 
815,6,1,240,420,499                 
815,6,2,420,540,499                 
815,6,3,540,960,499                 
815,6,4,960,1200,499                 
815,6,5,1200,1440,499                 
815,7,1,240,480,499                 
815,7,2,480,600,499                 
815,7,3,600,960,499                 
815,7,4,960,1080,499                 
815,7,5,1080,1440,499                 
815,8,1,240,420,499                 
815,8,2,420,540,499                 
815,8,3,540,1020,499                 
815,8,4,1020,1140,499                 
815,8,5,1140,1440,499                 
815,9,1,240,480,499                 
815,9,2,480,600,499                 
815,9,3,600,960,499                 
815,9,4,960,1080,499                 
815,9,5,1080,1440,499                 
815,10,1,240,420,499                 
815,10,2,420,540,499                 
815,10,3,540,960,499                 
815,10,4,960,1200,499                 
815,10,5,1200,1440,499                 
815,11,1,240,480,499                 
815,11,2,480,600,499                 
815,11,3,600,960,499                 
815,11,4,960,1080,499                 
815,11,5,1080,1440,499                 
815,12,1,240,420,499                 
815,12,2,420,540,499                 
815,12,3,540,1020,499                 
815,12,4,1020,1140,499                 
815,12,5,1140,1440,499                 
815,13,1,240,480,499                 
815,13,2,480,600,499                 
815,13,3,600,960,499                 
815,13,4,960,1080,499                 
815,13,5,1080,1440,499                 
815,14,1,240,420,499                 
815,14,2,420,540,499                 
815,14,3,540,960,499                 
815,14,4,960,1200,499                 
815,14,5,1200,1440,499                 
815,15,1,240,480,499                 
815,15,2,480,600,499                 
815,15,3,600,960,499                 
815,15,4,960,1080,499                 
815,15,5,1080,1440,499                 
817,0,1,240,420,499                 
817,0,2,420,540,499                 
817,0,3,540,1020,499                 
817,0,4,1020,1140,499                 
817,0,5,1140,1440,499                 
817,1,1,240,480,499                 
817,1,2,480,600,499                 
817,1,3,600,960,499                 
817,1,4,960,1080,499                 
817,1,5,1080,1440,499                 
817,2,1,240,420,499                 
817,2,2,420,540,499                 
817,2,3,540,960,499                 
817,2,4,960,1200,499                 
817,2,5,1200,1440,499                 
817,3,1,240,480,499                 
817,3,2,480,600,499                 
817,3,3,600,960,499                 
817,3,4,960,1080,499                 
817,3,5,1080,1440,499                 
817,4,1,240,420,499                 
817,4,2,420,540,499                 
817,4,3,540,1020,499                 
817,4,4,1020,1140,499                 
817,4,5,1140,1440,499                 
817,5,1,240,480,499                 
817,5,2,480,600,499                 
817,5,3,600,960,499                 
817,5,4,960,1080,499                 
817,5,5,1080,1440,499                 
817,6,1,240,420,499                 
817,6,2,420,540,499                 
817,6,3,540,960,499                 
817,6,4,960,1200,499                 
817,6,5,1200,1440,499                 
817,7,1,240,480,499                 
817,7,2,480,600,499                 
817,7,3,600,960,499                 
817,7,4,960,1080,499                 
817,7,5,1080,1440,499                 
817,8,1,240,420,499                 
817,8,2,420,540,499                 
817,8,3,540,1020,499                 
817,8,4,1020,1140,499                 
817,8,5,1140,1440,499                 
817,9,1,240,480,499                 
817,9,2,480,600,499                 
817,9,3,600,960,499                 
817,9,4,960,1080,499                 
817,9,5,1080,1440,499                 
817,10,1,240,420,499                 
817,10,2,420,540,499                 
817,10,3,540,960,499                 
817,10,4,960,1200,499                 
817,10,5,1200,1440,499                 
817,11,1,240,480,499                 
817,11,2,480,600,499                 
817,11,3,600,960,499                 
817,11,4,960,1080,499                 
817,11,5,1080,1440,499                 
817,12,1,240,420,499                 
817,12,2,420,540,499                 
817,12,3,540,1020,499                 
817,12,4,1020,1140,499                 
817,12,5,1140,1440,499                 
817,13,1,240,480,499                 
817,13,2,480,600,499                 
817,13,3,600,960,499                 
817,13,4,960,1080,499                 
817,13,5,1080,1440,499                 
817,14,1,240,420,499                 
817,14,2,420,540,499                 
817,14,3,540,960,499                 
817,14,4,960,1200,499                 
817,14,5,1200,1440,499                 
817,15,1,240,480,499                 
817,15,2,480,600,499                 
817,15,3,600,960,499                 
817,15,4,960,1080,499                 
817,15,5,1080,1440,499                 
819,0,1,240,420,499                 
819,0,2,420,540,499                 
819,0,3,540,1020,499                 
819,0,4,1020,1140,499                 
819,0,5,1140,1440,499                 
819,1,1,240,480,499                 
819,1,2,480,600,499                 
819,1,3,600,960,499                 
819,1,4,960,1080,499                 
819,1,5,1080,1440,499                 
819,2,1,240,420,499                 
819,2,2,420,540,499                 
819,2,3,540,960,499                 
819,2,4,960,1200,499                 
819,2,5,1200,1440,499                 
819,3,1,240,480,499                 
819,3,2,480,600,499                 
819,3,3,600,960,499                 
819,3,4,960,1080,499                 
819,3,5,1080,1440,499                 
819,4,1,240,420,499                 
819,4,2,420,540,499                 
819,4,3,540,1020,499                 
819,4,4,1020,1140,499                 
819,4,5,1140,1440,499                 
819,5,1,240,480,499                 
819,5,2,480,600,499                 
819,5,3,600,960,499                 
819,5,4,960,1080,499                 
819,5,5,1080,1440,499                 
819,6,1,240,420,499                 
819,6,2,420,540,499                 
819,6,3,540,960,499                 
819,6,4,960,1200,499                 
819,6,5,1200,1440,499                 
819,7,1,240,480,499                 
819,7,2,480,600,499                 
819,7,3,600,960,499                 
819,7,4,960,1080,499                 
819,7,5,1080,1440,499                 
819,8,1,240,420,499                 
819,8,2,420,540,499                 
819,8,3,540,1020,499                 
819,8,4,1020,1140,499                 
819,8,5,1140,1440,499                 
819,9,1,240,480,499                 
